,30_cluster1_spinG,7_cluster2_spinG,25_cluster3_spinG,8_cluster4_spinG,485_cluster5_spinG,4_cluster6_spinG,8_cluster7_spinG,20_cluster8_spinG,17_cluster9_spinG,515_cluster10_spinG,13_cluster11_spinG,509_cluster12_spinG,9_cluster13_spinG,23_cluster14_spinG,43_cluster15_spinG,9_cluster16_spinG,2_cluster17_spinG,15_cluster18_spinG,665_cluster19_spinG,9_cluster20_spinG,78_cluster21_spinG,8_cluster22_spinG,35_cluster23_spinG
262_cluster1_multi,4,0,1,0,52,0,1,1,2,54,0,56,0,3,4,4,0,0,69,0,5,1,5
7_cluster2_multi,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
233_cluster3_multi,4,3,3,2,46,0,1,4,3,45,1,50,0,0,2,0,0,2,54,0,8,1,4
252_cluster4_multi,1,1,2,1,48,0,0,3,5,47,1,53,2,4,5,0,0,4,69,0,4,0,2
6_cluster5_multi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
255_cluster6_multi,2,1,2,0,54,0,1,0,1,55,2,49,2,3,3,0,0,0,69,0,7,1,3
32_cluster7_multi,1,0,0,0,5,0,0,0,0,4,0,6,1,0,1,0,0,0,9,0,4,0,1
193_cluster8_multi,2,0,2,0,30,1,1,1,1,42,3,37,0,2,2,0,0,1,60,1,5,0,2
72_cluster9_multi,2,0,1,0,14,0,0,0,0,16,1,14,0,0,1,1,0,0,20,0,2,0,0
13_cluster10_multi,0,0,0,0,1,0,0,0,0,3,0,6,0,0,0,0,0,0,2,0,1,0,0
93_cluster11_multi,1,0,0,0,21,0,0,1,0,19,0,20,0,2,0,0,0,1,20,0,3,2,3
3_cluster12_multi,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
298_cluster13_multi,3,0,3,3,46,1,0,3,1,70,1,49,2,4,7,2,0,2,78,3,12,1,7
199_cluster14_multi,3,1,3,0,35,1,1,2,1,41,4,42,1,1,5,0,0,0,48,1,7,0,2
5_cluster15_multi,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
